"","comicName","comicSummary","comicGrade"
"457","기후위기인간","지구와나의 연결고리","9.90"
"458","찬란의 날","'칩'이 나타났다.","9.84"
"459","우리들만의 싸이커","프리스타일축구웹툰","7.92"
"460","날림생활기","날아간 일상을 기록","9.84"
"461","사예의 식이장애 일지","식이장애 이야기","9.76"
"462","성별역전","소꿉친구","9.69"
"463","이상낙원","마법 학원 판타지","9.89"
"464","이 세계 마왕님","인간소녀와 괴물마왕","9.86"
"465","유산은 처음이라","또 유산입니다","9.41"
"466","호텔불란서","갑자기 호텔리어","9.74"
"467","마귀","스릴러 액션","9.64"
"468","좀비다이어리","격리구역 탈출기","9.89"
"469","이 결혼을 막아라","이 결혼을 막아라!","9.90"
"470","덩키파티","머저리들의 모험담","9.72"
"471","같은 반 남자애","청춘로맨스","9.15"
"472","BL작가 화이팅!","BL작가와PD의썸씽","8.53"
"473","나를 위한 봄","일상학원로맨스","9.01"
"474","채채쓰의 웃픈일기","왜 삶은 웃플까요?","9.83"
"475","고양이 마법학교","마법배우는 고양이들","9.80"
"476","모호담","스릴러 단편집","9.77"
"477","드림캐처","악몽 vs 드림캐처","9.49"
"478","오늘의 너에게 부탁할게","영혼을 보는 서화","9.31"
"479","발버둥치다","우울증 이야기","9.88"
"480","조폭소녀","개그 스릴러","9.58"
